prodej_procent; moneyBitch; zahozena_vejce; zahozene_deti
0; -21550; 240076; 6448
5; -5886; 227274; 6450
10; 9778; 214474; 6450
15; 25442; 201513; 6469
20; 41106; 188719; 6442
25; 56770; 176272; 6461
30; 72434; 163472; 6461
35; 88098; 150431; 6454
40; 103762; 137698; 6452
45; 119426; 124898; 6452
50; 135090; 112123; 6445
55; 150754; 99323; 6445
60; 166418; 86523; 6445
65; 182082; 73566; 6457
70; 197746; 60766; 6457
75; 213410; 48045; 6413
80; 229074; 35987; 6065
85; 244738; 23994; 5666
90; 260402; 12873; 4835
90; 260402; 12941; 4783
91; 263534; 10811; 4550
92; 266667; 8797; 4282
93; 269800; 6715; 4044
94; 272933; 4592; 3822
95; 276066; 2555; 3552
96; 279198; 467; 3324
97; 282331; 0; 2304
98; 285464; 0; 994
99; 201578; 0; 1532
100; 30210; 0; 40
